"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os03g25320",1543.70205100343,-4.56779016332459,0.141939913852759,-32.1811535553204,3.23930374936018e-227,8.39465566646691e-223
"Os03g54000",5701.33709578727,-4.66554036321504,0.156512395869007,-29.8093984013884,2.95128099500162e-195,3.82412234927334e-191
"Os01g50080",1206.359854813,3.61531264250237,0.12936085352641,27.9475014577287,7.06972611930375e-172,6.10706507939189e-168
"Os02g10520",1341.54775598374,-4.33864932566747,0.159025821512082,-27.2826719863091,6.81058340481787e-164,4.41240672339638e-160
"Os02g43410",14457.7477548228,-4.30482522790669,0.157911992062139,-27.2609139539746,1.23376310818488e-163,6.39459418972222e-160
"Os12g26960",1551.15453726748,3.1160498777194,0.123685461392922,25.1933399659672,4.73879694800502e-140,2.0467653817925e-136
"Os03g46470",3481.125016336,-4.24036900954882,0.173995461441622,-24.3705725104302,3.50924368871483e-131,1.29917214561493e-127
"Os04g33920",1971.03879666699,4.90619903921453,0.201682766555858,24.3263176274196,1.0326873900474e-130,3.34526171413479e-127
"Os07g15460",3602.82030775859,-4.54574760312476,0.190824062009755,-23.821668794014,1.99180862093478e-125,5.73530226794721e-122
"Os01g11240",1263.4375182707,-3.9603741176191,0.167280282726322,-23.6750802489882,6.51331503710888e-124,1.68792559186677e-120
"Os01g45914",513.116111747834,-6.18626203399294,0.265463921710547,-23.3035886538972,4.07698334225665e-120,9.60500211950738e-117
"Os02g48390",6416.00045647081,-2.80763063136178,0.122497451823278,-22.9199104926054,2.94182558362384e-116,6.35311749996765e-113
"Os03g26210",1157.71085471979,-3.41348373262297,0.149061174000593,-22.8998849332113,4.65845875501902e-116,9.28645835663985e-113
"Os07g01410",12731.9636266242,-2.56199558089566,0.113971144615616,-22.4793353575272,6.61218593384627e-112,1.22396284625447e-108
"Os01g65110",699.595358845111,-5.9037504432238,0.264755160100904,-22.2989060571048,3.78643331956327e-110,6.54169463176548e-107
"Os03g13390",3122.54159980221,-3.50421003651523,0.159459646380369,-21.9755287062184,4.93766737344603e-107,7.99747812392837e-104
"Os03g10090",778.018081893057,5.35279443816172,0.248015641463714,21.5824873244733,2.62367506519258e-103,3.99956113614505e-100
"Os01g46720",3177.52598032385,-3.52111503738836,0.167366999100559,-21.0382874539847,2.92761344268588e-98,4.08520847909521e-95
"Os12g39860",7899.92992448778,-2.35008590498334,0.1117109326854,-21.0372060145773,2.99513645004087e-98,4.08520847909521e-95
"Os04g24140",2824.35734095033,-2.59151569093681,0.123665379382397,-20.9558706234454,1.65868104070625e-97,2.14923595849513e-94
"Os10g03390",890.010785192344,-2.83694448125431,0.137056242702069,-20.6991263245209,3.52706182546118e-95,4.35256224794412e-92
"Os01g65100",2949.5404088643,-3.01273848474407,0.145759929602983,-20.6691818042866,6.56192013750133e-95,7.72964365287941e-92
"Os02g03870",2713.91286533937,-2.48699814557134,0.121876878666609,-20.4058240806647,1.48438618473561e-92,1.67251599901841e-89
"Os04g57400",3685.47551431219,-2.74555385958401,0.135349034711216,-20.2849903247702,1.74497284946687e-91,1.88420714141391e-88
"Os12g16010",1500.27226627867,-2.92777359452427,0.145590950659925,-20.1095849793786,6.08306515319096e-90,6.30570533779775e-87
"Os09g03040",413.317607957275,-5.07440097979009,0.252476237874782,-20.0985289645626,7.60135642989018e-90,7.5765058415617e-87
