"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os09g36680",6999.27574614439,4.12267573030217,0.297034761551532,13.8794385841165,8.44024358905783e-44,2.03519593662951e-39
"Os09g36700",564.615576060488,4.87181675313347,0.373100354169561,13.0576578089213,5.74688154451888e-39,6.92872773414919e-35
"Os09g19229",274.869890942762,-3.2555878232445,0.265348203182652,-12.2691157663635,1.32694526464079e-34,1.06655437220944e-30
"Os06g28630",505.77383229288,-2.71797917415286,0.223404478647396,-12.166180331786,4.70593429758824e-34,2.83685484294363e-30
"Os12g16720",712.119188624935,2.56643638131557,0.215288368428163,11.9209244793544,9.20810523099128e-33,4.44070082869786e-29
"Os03g14050",581.917677901341,3.45377573690775,0.305170392395934,11.3175321819122,1.07454310526641e-29,4.31840964954814e-26
"Os02g30910",249.309491721421,5.36468080743044,0.482397760243077,11.1208659110009,9.93034647145427e-29,3.4207206352311e-25
"Os11g35540",91.3567323619592,-4.8888353626292,0.448175357283901,-10.9083091766965,1.05194672983248e-27,3.17069893705634e-24
"Os11g42500",1528.184886249,2.40012012893695,0.224433757864789,10.6941137187701,1.08451496615561e-26,2.90565659765668e-23
"Os11g37950",1060.22008161526,3.65002366457462,0.34477390365245,10.5867167610633,3.43426716808192e-26,8.28104842239594e-23
"Os02g36595",1480.71199934664,-2.08771934104558,0.197594951827594,-10.5656512058423,4.29973942259209e-26,8.7012102499105e-23
"Os07g08200",252.851511252728,-2.34948064284632,0.222383643919226,-10.5649885101249,4.33021701982026e-26,8.7012102499105e-23
"Os10g32810",952.286352011875,2.31420325930582,0.219267456651475,10.5542486543465,4.85508221422853e-26,9.00543057166866e-23
"Os03g51920",265.873279388781,3.88758168121232,0.376086018834629,10.336948162175,4.79566998084769e-25,7.84307615197898e-22
"Os04g41640",343.203117156996,4.07364332764767,0.394148622328605,10.3352976437691,4.87895086798344e-25,7.84307615197898e-22
"Os06g45710",389.931336288897,2.9556986421056,0.287123672265089,10.2941656422419,7.48657790372843e-25,1.12827408120377e-21
"Os03g19290",169.278129036503,4.49017458415483,0.442491603850358,10.1474797376569,3.400310526755e-24,4.82304045480255e-21
"Os05g31020",655.666621733553,5.03731297763375,0.50300893727144,10.0143607884157,1.3181120472352e-23,1.67282293657802e-20
"Os07g48460",181.970997375635,2.35403203435612,0.235019495247541,10.0163266535683,1.29216496197159e-23,1.67282293657802e-20
"Os07g37320",1105.1613574308,-1.68449220014688,0.169572874578013,-9.93373618474528,2.96917082589987e-23,3.57978080624618e-20
"Os07g23640",160.613397407049,2.62310501312458,0.264306933634351,9.92446538218122,3.25844183691963e-23,3.74146704826871e-20
"Os06g46740",389.153752310358,5.52959002526037,0.563747688769308,9.80862562351567,1.03366772544702e-22,1.13294681198654e-19
"Os10g42780",1535.83202346052,2.27977542550991,0.233706416104229,9.75486879441585,1.75827890445172e-22,1.84336431404541e-19
"Os01g06310",171.179547983922,5.7063685367533,0.586146341026107,9.73539905881479,2.12980088235732e-22,2.13982869484509e-19
"Os06g21140",289.128292224501,-1.9011992782142,0.195693955698033,-9.71516606853131,2.59825134978577e-22,2.40967826143786e-19
"Os12g09300",546.453069400785,-2.03167358821583,0.209060796058607,-9.71809935922315,2.52449526997546e-22,2.40967826143786e-19
"Os04g41620",829.336015700664,2.51230458274784,0.259570559997332,9.6786961617437,3.71422397731571e-22,3.31707713944495e-19
"Os08g10310",299.323642020596,-3.58024486307626,0.372366769499878,-9.61483450278031,6.92205750025302e-22,5.96112758941432e-19
"Os02g36590",1584.31065924294,-2.03377127520835,0.213485359471762,-9.52651404405722,1.62653387704804e-21,1.35243487507791e-18
"Os03g09930",837.981808935677,-1.712504775323,0.181170236977484,-9.45246197108982,3.30953193143177e-21,2.66009144875381e-18
"Os06g35960",134.512547449025,3.40587482823829,0.36077119805061,9.44053972889627,3.70864099199897e-21,2.88472452387326e-18
"Os11g01330",1975.90507830476,-2.04293340432909,0.216926168924885,-9.41764386682412,4.61323395024905e-21,3.47621594507361e-18
"Os09g38930",60.0673183251414,-4.53707116167575,0.488251577468989,-9.29248643741232,1.5072534367841e-20,1.10134551882349e-17
"Os01g68290",108.41251015311,6.70631660004907,0.726041866674743,9.23681802368211,2.53936434267577e-20,1.80093212926297e-17
"Os11g26570",96.1146184068957,5.7549778873762,0.623829359041321,9.22524373687742,2.82916721575473e-20,1.94913454495697e-17
"Os11g37970",253.689967725342,2.98597903262239,0.325693904354146,9.16805317110131,4.81638445477846e-20,3.22604106550203e-17
"Os08g39830",105.102330267825,-3.39852186147135,0.371134041063967,-9.15712784450726,5.32969153416713e-20,3.47337437738843e-17
"Os10g05990",255.305619356584,-8.34008962623801,0.919658397912373,-9.06868207278923,1.20465233202419e-19,7.64415307423664e-17
"Os03g51350",119.531692648469,4.98157071815517,0.551460180069934,9.03341872757419,1.66390556881739e-19,1.02876294822805e-16
"Os11g42550",733.432599139945,2.7183110756609,0.304318366531327,8.93245815770069,4.16645978619409e-19,2.51164612061245e-16
"Os02g01590",2173.70603534051,2.79636634343537,0.314771405583092,8.88380041463837,6.46141697320319e-19,3.80010115792313e-16
"Os01g58194",299.900116315351,2.33339812851669,0.270892063385264,8.61375597113056,7.07051095544594e-18,4.05931501592067e-15
"Os05g37930",1762.15287214928,-1.38776225239803,0.165249525431408,-8.39798025909651,4.54223531967566e-17,2.54713768054277e-14
"Os01g61080",567.439117599503,-1.97416811569056,0.237999056936385,-8.29485688348014,1.08716012694268e-16,5.95788457749289e-14
"Os01g12210",135.039572838502,2.46980549869893,0.298634048767492,8.27034127184154,1.33576102480459e-16,7.15760124246955e-14
"Os03g18850",341.433401850845,1.62504881247452,0.197262324564056,8.23800903728487,1.75099962555965e-16,9.17866390676517e-14
"Os11g34720",132.992447333698,-3.55902200439784,0.433388698916086,-8.21207847204836,2.17392118467408e-16,1.11531407502226e-13
"Os10g35070",842.235023386848,2.1925280558023,0.268518431700395,8.16527953749056,3.20691718092923e-16,1.61100820799472e-13
"Os10g36180",83.5789340197293,6.29750551429185,0.772133344095147,8.15598181642033,3.46354560026802e-16,1.7044178583523e-13
"Os12g01360",1659.71446897836,-1.934341229258,0.237245350843472,-8.15333671400044,3.54018146309684e-16,1.70728791239308e-13
"Os05g38530",929.35224424637,2.36738791449315,0.290541074339767,8.14820389809898,3.69369182840437e-16,1.74639198153558e-13
"Os01g68269",1687.64582500596,-1.3484118216376,0.16612506337967,-8.11684759785988,4.78448981434635e-16,2.2186231325641e-13
"Os12g08760",30552.1031933726,-1.42680098361803,0.1762436765889,-8.09561518026057,5.69756736876953e-16,2.59217815024792e-13
"Os05g15850",61.7389549911006,-4.54713582477487,0.562449409860522,-8.08452412796109,6.24073914921784e-16,2.78672116861277e-13
"Os01g17214",631.738730871252,-1.47629451642652,0.183786196406738,-8.03267353745829,9.53711978501717e-16,4.1790690637423e-13
"Os06g05550",598.121026185217,-4.2016137483727,0.523205215769536,-8.03052726107272,9.70546458630485e-16,4.1790690637423e-13
"Os05g10670",206.684566473022,2.76325819969888,0.344728260195221,8.01575768152584,1.0946012124026e-15,4.63054719906382e-13
"Os03g21040",564.926540110461,1.73436185359054,0.216891879990526,7.99643515315696,1.28073173942027e-15,5.32453179873121e-13
"Os05g47730",51.2744455551746,4.1353699123468,0.517477883934747,7.99139449381427,1.33420872727561e-15,5.45284322725368e-13
"Os12g29400",65.726949510353,2.81439154339186,0.356808621411195,7.88767808429293,3.07860656752938e-15,1.2372406693806e-12
"Os05g33140",41.7142469035637,4.39179403271664,0.557849511701856,7.87272183732563,3.47007613632987e-15,1.37170403074299e-12
"Os12g40920",322.821434883403,-1.88790069849084,0.239892103331206,-7.86979092798365,3.55234404248105e-15,1.38157535316686e-12
"Os09g25690",44.8188173170372,4.36361776091513,0.554778207425808,7.8655176113757,3.67574387755838e-15,1.40687638285024e-12
"Os09g18230",304.544112042213,-2.00220511177548,0.255822803471294,-7.82653103870058,5.01515536385433e-15,1.88953814513468e-12
"Os02g51750",388.946019500791,1.43252245701229,0.184400052379479,7.76855775541908,7.93848079016281e-15,2.94493211220301e-12
"Os10g05130",429.65187562019,-1.41236895710249,0.182184407946027,-7.7524140129539,9.01618682532871e-15,3.29405019574471e-12
"Os08g01270",1241.95757166294,-1.09488275262475,0.141906897261651,-7.71550061168616,1.20508282904721e-14,4.33703914280825e-12
"Os04g58200",1715.96934488281,1.98818393336912,0.257993127818638,7.70634454560649,1.29472781335387e-14,4.59114290638261e-12
"Os04g43200",497.417381293883,3.16043190475867,0.410446986250198,7.69997590585827,1.36091889352645e-14,4.75591844631932e-12
"Os08g23150",586.150311585695,1.77263219140328,0.23049445194854,7.69056337980336,1.46488539751422e-14,5.04611165575148e-12
"Os05g39250",131.053953879921,3.73720541914496,0.486333385792179,7.68445171218814,1.5365361675441e-14,5.21837980394236e-12
"Os01g60600",60.8822499513877,-2.77069624956738,0.361548152098128,-7.66342251644363,1.81042510936034e-14,6.06316398083414e-12
"Os09g02180",63.2072607872597,4.87509924206527,0.636749340966954,7.65622974130142,1.91471069765921e-14,6.32457795241869e-12
"Os08g30020",4224.82280477326,-2.16522203560337,0.28290726719121,-7.65346912824244,1.95628619892403e-14,6.37458501549395e-12
"Os03g07180",205.198874076514,3.39323572741068,0.443939160390489,7.64347016475409,2.11444141581922e-14,6.79807011461984e-12
"Os06g46900",199.78825555422,1.83918902038547,0.241079982199242,7.62895784049571,2.36659009555036e-14,7.50862986500078e-12
"Os02g43330",95.0809557418631,6.73142427703643,0.883052734289186,7.62290179923954,2.48035576577618e-14,7.76737903638455e-12
"Os01g53240",825.634898659435,1.72610542029023,0.226770909567294,7.61167040156892,2.70575858184682e-14,8.36460983129133e-12
"Os10g39130",1130.72472905975,-1.13185065201554,0.149025405175053,-7.59501811577707,3.07749378691971e-14,9.3933680612652e-12
"Os04g40040",1908.01724780545,-1.55241829096014,0.205111272091895,-7.56866395068046,3.77082205324243e-14,1.13657290212293e-11
"Os10g34930",1322.86552982902,2.15110407508746,0.284644763354383,7.55715316782176,4.11986727156601e-14,1.22644888295397e-11
"Os08g37660",158.75258321027,-2.48540402774751,0.329560978155261,-7.54156041670868,4.64380836604386e-14,1.36556281866361e-11
"Os06g02900",76.8117264674995,-3.37190550939426,0.447477428172062,-7.53536446110465,4.86972770657402e-14,1.41474390588698e-11
"Os06g48300",321.998303819347,2.46986101136407,0.328717744965781,7.51362239851449,5.75133193183964e-14,1.6509746056244e-11
"Os04g48930",408.353688813506,-4.08241401951125,0.543836572115641,-7.50669268826439,6.06398545973508e-14,1.72024566341873e-11
