"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os01g45914",2272.07325185934,-8.87545448586138,0.334147477444662,-26.5614888184551,1.89208450862352e-155,4.55708553901975e-151
"Os03g16920",873.694340994356,4.65349142620986,0.21552212472953,21.5917109765402,2.14907749537665e-103,2.58802657380733e-99
"Os05g47540",18991.5832515058,-2.96846945949345,0.145111005743035,-20.4565425226952,5.25341320243899e-93,4.21761523269143e-89
"Os05g47545",18595.8371357261,-2.9641513053851,0.145667810954578,-20.3487049469658,4.76702671889116e-92,2.87034596311234e-88
"Os03g31690",1282.2993987793,-2.72240556854459,0.136783296446686,-19.9030557039228,3.82860958451409e-88,1.84424123686044e-84
"Os12g25200",1988.49717217061,-2.34644522241466,0.119266320566849,-19.6739969109675,3.60234329331355e-86,1.44604063699095e-82
"Os09g23300",512.914637167871,4.45948664654277,0.238198905372335,18.7216924425913,3.29513152787575e-78,1.13376061212696e-74
"Os12g29400",400.247178366588,3.10828006523223,0.167686303419929,18.5362787648094,1.05257666943066e-76,3.16891363540467e-73
"Os01g32780",1655.52699715603,3.04948074830276,0.174085722161467,17.5171215102541,1.06057413890194e-68,2.83821423727257e-65
"Os02g30910",811.285560628247,6.12779233320146,0.350011117924712,17.5074219628634,1.25762098426783e-68,3.02898014060906e-65
"Os06g45710",707.682552700146,3.29907556109006,0.190349053315881,17.3317150971867,2.71121248079013e-67,5.93632296362093e-64
"Os03g19290",712.076021484258,5.64800085996085,0.326573351213034,17.2947389582823,5.15359191639596e-67,1.03436884421997e-63
"Os01g42860",1152.79136832527,3.80322689573826,0.222880024438127,17.0640096855968,2.75013381272739e-65,5.09515175996455e-62
"Os03g12510",1117.00081112651,-4.56399094021921,0.268068259366987,-17.0254805660192,5.3154292081819e-65,9.14443660564721e-62
"Os05g31020",1525.68195904164,5.04410752415969,0.300683336998218,16.7754807250579,3.68861838646716e-63,5.92269158920411e-60
"Os05g50380",1900.99879741331,3.77664420509474,0.232617692473882,16.2354125558131,2.83336605730525e-59,4.26510134313732e-56
"Os07g08200",333.678969468375,-2.79848462262745,0.174764642086936,-16.0128764560703,1.03893579430438e-57,1.47192756504829e-54
"Os05g49300",525.367603513564,2.2084892126791,0.139780848276236,15.7996552454358,3.12822641292997e-56,4.18574073085658e-53
"Os06g28630",629.825042172926,-3.55104267139316,0.230222737733773,-15.424378609812,1.12230159995652e-53,1.42266494920804e-50
"Os05g39250",387.942621977205,4.52193575549478,0.310433693969058,14.5665107987457,4.58729692234083e-48,5.52425231872894e-45
"Os03g52680",384.821796394412,-2.94051767513403,0.202095678186989,-14.5501264624438,5.82951836225061e-48,6.68590236927647e-45
"Os01g45640",1144.61684421128,2.15927636683236,0.14864041229981,14.5268459191102,8.19058022114061e-48,8.96682384664416e-45
"Os05g51670",4284.39899813101,2.02023703519597,0.141146162244494,14.3130851244577,1.81289094054408e-46,1.89841210013061e-43
"Os01g06310",234.8706080874,5.23335972329022,0.366336156263486,14.285676239738,2.6878761199359e-46,2.697395681194e-43
"Os04g39300",278.914395648827,-3.42996459829996,0.241528670020548,-14.2010660598104,9.02292624225116e-46,8.69268714178476e-43
"Os09g12290",12668.3232424247,-2.26766363552617,0.162268387889045,-13.9747714574988,2.22225823267804e-44,2.05858036669425e-41
"Os03g60580",654.462538424552,3.48894479978303,0.251457873194566,13.8748680065525,8.99585395761536e-44,8.02463490996911e-41
"Os03g14050",524.396936837011,2.77974836083037,0.20121227818385,13.8150036663791,2.06943701297335e-43,1.78008537348083e-40
"Os08g02030",264.676683830348,3.88704125152043,0.281656870779515,13.8006264173945,2.52647634731028e-43,2.09828216637821e-40
"Os04g43200",1273.99113604123,2.84210375553797,0.207100639591033,13.7232978186371,7.36382887441407e-43,5.91192728134209e-40
"Os03g22120",2993.31881222712,1.87951800065318,0.137652175651121,13.6541103819297,1.90805247243766e-42,1.48243367092455e-39
"Os03g57200",308.967300144285,3.42036960082844,0.252378638757093,13.5525320909605,7.65434753088567e-42,5.76109250879316e-39
"Os01g49720",331.542550208627,2.63563141457553,0.195867964979978,13.4561637725952,2.83244394910006e-41,2.06725492466894e-38
"Os04g48930",206.746988301093,-7.41601941518104,0.557151188326126,-13.3106050396506,2.00848619604049e-40,1.42277617740103e-37
"Os12g29160",158.573614925926,-5.70093157577173,0.428574027973086,-13.302092996008,2.25078308546754e-40,1.54886030324245e-37
"Os08g26220",293.19081852476,-3.17754548992782,0.239674928169606,-13.2577300187161,4.07030674366092e-40,2.72314827558537e-37
"Os01g74300",11960.6632784673,-1.86661559598303,0.141479847589722,-13.1935086712564,9.56286433511855e-40,6.22490777057649e-37
"Os02g54254",2940.75041162388,3.67620783016148,0.27914891838958,13.1693429133441,1.31739216477265e-39,8.34983954961825e-37
